County,COUNTY_NAM,FIPS,% Low birthweight,Teen Birth Rate,Preventable Hospitalization Rate,% With Annual Mammogram,% Children in Poverty,Injury Death Rate,Life Expectancy,Age-adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Drug Overdose Mortality Rate,ELA Average Grade Performance,Math Average Grade Performance,Median Household Income,Homicide Rate,Suicide Rate,Firearm Fatalities Rate,COVID-19 death rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,% Insufficient Sleep,% Disconnected Youth,School_Segregation,Spending per-pupil,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,% Enrolled in Free or Reduced Lunch,Res_BW_Segregation,Res_WNW_Segregation,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic white,Pct_Other,% rural,% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,% Completed High School,% Some College,% Unemployed,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
Erie,ERIE,42049,8.71,20.79,4152,51,18,85.01,77.58,380.99,47.74,6.43,26.78,3.01,3.11,55181,4.69,16.98,12.34,66.55,13.7,16.3,9,155.2,12.5,13.74,39.36,5.6,0.23,13792.69,38156,49042,0.78,64.44,62.96,51.16,21.58,66.98,13.09,83.09,268426,20.93,19.19,7.29,0.29,2.06,0.07,4.63,83.59,2.07,20.02,18.9,21.5,35.1,7,19.46,27.59,7.09,91.49,62.98,9.8,30.88,224.84,8.8,14.3
Fayette,FAYETTE,42051,9.19,28.77,5129,43,23.5,120.08,74.87,491.31,62.24,8.35,43.32,2.94,2.87,45256,4.78,17.23,17.18,76.68,14.8,17.8,9.8,101.9,14.6,6.35,40.63,8.94,0.1,14351.67,36579,50613,0.72,72.35,54.04,41.07,42.43,73.43,11.26,78,128126,19.09,22.31,4.67,0.22,0.42,0.18,1.34,91.45,1.72,47.9,21.6,24.2,38.5,7.4,19.3,35.78,6.85,88.81,51.62,11.7,27.06,204.56,8.5,13.08
Forest,FOREST,42053,9.39,21.19,3398,47,29.9,80.31,77.22,391.42,,,,3.28,3.26,40667,,,,,15.8,16.4,11.7,87.8,14.7,15.01,43.45,,,24687,30441,41004,0.74,88.17,,,14,83.15,9.59,62.51,6965,4.25,25.04,19.64,0.53,0.19,0.01,6.66,72.66,0.31,100,25.6,26.3,40.3,6.5,19.04,33.33,7.23,83.72,27.78,10.62,24.12,468.48,7.5,11.66
Franklin,FRANKLIN,42055,7.1,19.69,3258,47,12.2,67.09,78.86,339.09,45.9,5.45,15.25,3.18,3.16,57812,1.85,13.26,10.6,94.04,13.1,15.9,8.8,116.2,9.8,6.28,37.94,5.6,0.11,12631,40751,51288,0.79,47.03,45.1,36.77,19.43,70.9,8.93,83.05,155637,21.95,20.36,3.52,0.33,1.12,0.07,6.44,86.97,1.55,40.35,19,20.8,36.8,8.3,18.84,19.19,8.51,88.76,54.39,7.61,20.12,146.15,8.7,10.85
Fulton,FULTON,42057,7.88,24.15,3334,41,14.5,92.05,78.45,332.97,,,22.96,3.27,3.36,61202,,15.01,13.74,63,13.9,17.1,9,55.9,11.3,0.87,39.53,,0.07,15986.67,36730,50078,0.73,39.64,60.32,26.08,10.71,78.25,10.18,74.25,14501,19.72,22.23,1.34,0.31,0.24,0.01,1.33,95.66,1.11,100,19.8,24.1,35.7,8.6,20.2,10,6.83,89.26,48.69,11.54,21.58,216.07,7.9,12.02
Greene,GREENE,42059,9.89,20.18,6504,42,16.6,99.82,75.31,465.91,49.91,,28.61,2.99,3.18,59324,,17.19,13.71,67.7,13.8,16.7,9.3,112.2,12.9,6.63,40.56,8.01,0.07,17025.8,33882,53623,0.63,43.27,,24.29,5.94,75.24,8.53,80.75,35621,19.22,20.06,3.47,0.27,0.37,0.03,1.62,93.19,1.05,66.83,19.9,23.9,37.3,7.7,20.33,42.5,6.39,87.6,50.27,9.74,25.4,187.07,6.4,9.39
Huntingdon,HUNTINGDON,42061,7.23,18.31,4089,50,14.2,80.08,78.3,345.23,70.86,8.19,22.98,2.86,2.82,55282,,21.02,11.5,105.11,13.7,16.3,9.3,116,12.2,0.47,40.67,4.3,0.09,13731,39761,47996,0.83,50.89,52.28,44.37,,77.04,7.62,79.96,44590,17.68,21.7,5.51,0.18,0.77,0.03,2.06,90.46,0.99,68.66,19.8,23.1,36.2,8.4,20.58,26.92,7.11,89.78,48.94,10.44,19.31,182.21,8.6,10.5
Indiana,INDIANA,42063,7.62,10.11,3695,44,17.7,109.08,77.59,382.85,42.74,5.5,38.85,3.17,3.28,53533,2.17,14.26,10.62,93.51,14.3,17.1,9.3,61.2,12.5,2.53,38.82,9.33,0.08,17730.29,35450,51020,0.69,44.25,68.98,48.07,12.86,70.06,11.87,75.41,83664,17.94,20.52,2.55,0.2,1.06,0.01,1.44,93.76,0.98,60.07,20.2,23.3,32.8,8.2,19,32.31,8.22,90.77,61.92,9.1,15.01,283.65,8.6,15.06
Jefferson,JEFFERSON,42065,7.69,21.95,4325,51,15.4,91.72,77.27,391.6,48.85,,29.19,3.33,3.39,52856,,15.29,11.01,77.99,14.5,17.4,9.4,,12.9,2.32,41.23,14.06,0.03,14972.33,32851,46546,0.71,54.36,,36.29,,74.81,9.03,77.4,43108,21.3,21.78,0.49,0.27,0.3,0.02,1.04,96.98,0.9,61.46,20.6,24.6,37.4,8.1,20.36,3.23,7.81,90.58,47.71,8.79,17.14,134.77,8,11.26
Juniata,JUNIATA,42067,6.33,15.35,2731,56,14.6,73.71,78.92,323.15,63.64,,,2.9,3.08,59591,,14.57,11.34,159.4,14.4,17.2,9.4,86.1,10.7,2.48,39.69,7.92,0.05,12737,33702,45550,0.74,46.48,53.84,22.07,,73.86,7.69,75.25,24619,22.15,21.14,0.69,0.39,0.45,0.03,4.06,93.78,0.6,82.25,21.2,24.1,37,8.5,19.51,46.67,11.35,83.09,46.06,7.16,9.84,84.95,8.6,10.69
